name,Predicted location,Real Location,Predicted scores,Real scores
Mohamed Salah,1,3,228.59699113828643,231.0
Harry Kane,2,2,224.27016835933864,242.0
Bruno Miguel Borges Fernandes,3,1,217.8097884589554,244.0
Heung-Min Son,4,4,214.11712507483168,228.0
Patrick Bamford,5,5,193.36001625606048,194.0
Jamie Vardy,6,6,191.76205518030147,187.0
Sadio ManÃ©,7,8,177.4258445693151,176.0
Marcus Rashford,8,9,176.6653348856019,174.0
Pierre-Emerick Aubameyang,9,55,174.71547442114132,131.0
Roberto Firmino,10,32,171.22380322270118,141.0
Timo Werner,11,59,166.38492321782118,128.0
Raheem Sterling,12,20,164.6252035831385,154.0
Dominic Calvert-Lewin,13,12,160.4065977921527,165.0
Alexandre Lacazette,14,57,152.08962863059563,129.0
Stuart Dallas,15,10,151.48581964519778,171.0
Andrew Robertson,16,13,151.394679958661,161.0
Wilfried Zaha,17,42,149.69520082105245,136.0
Kevin De Bruyne,18,33,147.52744217718467,141.0
Neal Maupay,19,104,146.7596308264679,105.0
Ollie Watkins,20,11,140.7717299329396,168.0
Danny Ings,21,54,140.30423969675093,131.0
Jack Grealish,22,43,139.6424670623471,135.0
Trent Alexander-Arnold,23,15,139.17403779242593,160.0
Mason Mount,24,25,137.7718313438604,147.0
Leandro Trossard,25,51,133.28458037766094,132.0
Richarlison de Andrade,26,73,132.95849203258297,123.0
Emiliano MartÃ­nez,27,7,131.11325339276615,186.0
Aaron Cresswell,28,21,129.81779250896633,153.0
Jack Harrison,29,14,126.55492880544249,160.0
Nicolas PÃ©pÃ©,30,84,122.89222325390605,114.0
