gw,cheap,captain,pred,score,buy1,buy1_price,sold1,sold1_price,buy2,buy2_price,sold2,sold2_price,team_value,extra_budget
1,,54694,54.0,73,,0.0,,0.0,,0,,0,100.0,0.0
2,wc,118748,112.4866052419918,87,,0.0,,0.0,,0,,0,99.3,0.8999999999999932
3,tc,177815,137.0482488034657,61,Sadio ManÃ©,11.9,Pierre-Emerick Aubameyang,11.9,,0,,0,99.8,0.8999999999999932
4,,106617,143.33122806104555,56,Kevin De Bruyne,11.7,Sadio ManÃ©,11.9,,0,,0,100.0,1.0999999999999943
5,fh,118748,176.22236756959032,72,,0.0,,0.0,,0,,0,101.0,0.2000000000000059
6,,85971,102.97398132830176,67,Heung-Min Son,9.4,Kevin De Bruyne,11.5,,0,,0,98.0,3.199999999999994
7,,78830,64.96566922700829,63,Harry Kane,10.9,Richarlison de Andrade,7.8,,0,,0,101.3,0.0999999999999934
8,,78830,116.39816062724188,64,Wilfried Zaha,7.4,James RodrÃ­guez,7.9,,0,,0,101.0,0.5999999999999934
9,,101668,95.79041079975444,53,Jamie Vardy,10.1,Harry Kane,11.0,,0,,0,100.09999999999998,1.4999999999999938
10,,141746,108.75129126126788,46,Bruno Miguel Borges Fernandes,10.8,Mohamed Salah,12.2,,0,,0,98.6,2.8999999999999924
11,,61366,118.38626451736675,82,Kevin De Bruyne,11.7,Heung-Min Son,9.5,,0,,0,101.4,0.6999999999999931
12,,78830,84.27367568815939,63,Harry Kane,10.9,Jamie Vardy,10.3,,0,,0,102.4,0.0999999999999934
13,,61366,110.81752990933944,41,Jack Grealish,7.8,Bruno Miguel Borges Fernandes,11.0,,0,,0,99.4,3.2999999999999936
14,,85971,81.16747106411887,44,Heung-Min Son,9.7,Wilfried Zaha,7.5,,0,,0,101.4,1.0999999999999943
15,,169187,70.941314677961,39,Trent Alexander-Arnold,7.2,Virgil van Dijk,6.3,,0,,0,102.4,0.1999999999999939
16,,141746,87.62086838767017,61,Bruno Miguel Borges Fernandes,11.1,Kevin De Bruyne,11.8,,0,,0,102.0,0.899999999999995
17,,141746,97.70386205431716,38,Wilfried Zaha,7.4,Heung-Min Son,9.7,,0,,0,100.0,3.199999999999994
18,,78830,93.71791269941464,37,Anthony Martial,8.8,Patrick Bamford,6.6,,0,,0,102.1,0.9999999999999928
19,,59859,51.5698425843796,77,Ilkay GÃ¼ndogan,5.5,Allan Saint-Maximin,5.1,,0,,0,102.6,0.5999999999999925
20,wc,57531,131.3069163344675,73,,0.0,,0.0,,0,,0,103.1,0.0999999999999921
21,,201666,82.61475285705168,55,Harvey Barnes,6.8,Raheem Sterling,11.6,,0,,0,99.0,4.899999999999992
22,,114283,114.51869866880344,64,Gabriel Fernando de Jesus,9.2,Harry Kane,11.1,,0,,0,97.5,6.799999999999992
23,bb,141746,137.35290238675844,74,Bruno Miguel Borges Fernandes,11.5,Bukayo Saka,5.4,,0,,0,104.20000000000002,0.6999999999999922
24,,141746,111.93305966724076,100,Luke Shaw,5.0,Willy Boly,5.4,,0,,0,103.8,1.0999999999999923
25,,172780,98.02626128354748,56,Raphael Dias Belloli,5.4,Bruno Miguel Borges Fernandes,11.6,,0,,0,97.5,7.299999999999992
26,,78830,86.31609088080464,88,Harry Kane,11.1,Alexandre Lacazette,8.1,,0,,0,100.4,4.299999999999992
27,,78830,108.57474324684428,106,Kevin De Bruyne,11.8,Jack Grealish,7.6,,0,,0,104.6,0.0999999999999907
28,,141746,86.68234025473042,49,Bruno Miguel Borges Fernandes,11.5,Kevin De Bruyne,11.9,,0,,0,104.7,0.4999999999999911
29,,78830,86.17692003549689,47,Alexandre Lacazette,8.1,Gabriel Fernando de Jesus,9.2,,0,,0,104.2,1.5999999999999908
30,,78830,88.14350850590702,74,Jesse Lingard,6.2,Ilkay GÃ¼ndogan,6.2,,0,,0,104.5,1.5999999999999908
31,,184341,103.75852522493824,65,Mason Mount,7.1,Harvey Barnes,6.7,,0,,0,104.89999999999998,1.1999999999999913
32,,78830,115.62398748310702,60,Diogo Jota,7.0,James Maddison,7.2,,0,,0,104.9,1.3999999999999917
33,,173515,87.65701226601831,50,Kelechi Iheanacho,6.1,Harry Kane,11.7,,0,,0,99.5,6.999999999999991
34,,173515,52.81611206277563,45,Jamie Vardy,10.3,Alexandre Lacazette,8.4,,0,,0,101.4,5.099999999999991
35,,177815,75.35255957308266,71,Dominic Calvert-Lewin,7.5,Michail Antonio,6.4,,0,,0,102.5,3.999999999999991
36,,85971,81.60534815172966,29,Heung-Min Son,9.6,Diogo Jota,7.0,,0,,0,105.2,1.3999999999999917
37,,169187,80.81815397280262,62,Joseph Willock,4.8,Mason Mount,7.3,,0,,0,103.0,3.899999999999992
38,,110979,113.63350468542086,90,Sadio ManÃ©,11.8,Bruno Miguel Borges Fernandes,11.3,,0,,0,103.30000000000001,3.3999999999999915
